customer_id,account_open_date,age,gender,region,urban,education_level,employment_status,KYC_verified,uses_equity_mobile_app,uses_equitel,mpesa_linked_to_bank,equity_mobile_sessions_last_30d,equity_mobile_txn_count_last_90d,mpesa_cash_in_count,mpesa_cash_out_count,num_deposits_last_90d,num_withdrawals_last_90d,equity_mobile_trans_volume_last_90d,avg_balance_last_6m,mshwari_savings_balance,mshwari_loans_count,fuliza_overdraft_amt,loan_applications_count,loan_repayment_rate,branch_visits_count_last_year,complaints_count_last_year,churn_probability,churned,churn_date
CUST00013,2023-01-04,54,Female,Central,1,Primary,Employed,Yes,0,1,1,0,34,1,9,8,6,25304.29,33471.58,12975.75,1,2774.72,0,0.8658,2,0,0.10640343432725902,1,2024-01-15
CUST00014,2024-01-08,37,Male,Rift Valley,0,Secondary,Self-employed,Yes,0,0,1,0,3,0,3,7,5,25181.29,13009.27,0.0,3,3872.32,0,0.8242,1,0,0.31982673174076426,1,2024-12-14
CUST00015,2023-03-09,31,Male,Rift Valley,1,Tertiary,Self-employed,Yes,1,0,1,3,38,15,8,4,3,21289.91,79229.57,3198.54,2,448.26,2,0.8723,2,0,0.025593263987448652,0,
CUST00016,2022-09-21,25,Female,Coast,0,Secondary,Informal,Yes,0,1,1,0,5,1,2,3,4,204598.56,46413.95,0.0,2,3491.68,0,0.5614,1,1,0.03739421202611088,0,
CUST00017,2024-04-22,53,Female,Nairobi,1,Secondary,Employed,Yes,1,0,1,3,27,3,11,6,7,58568.25,18943.49,16761.09,0,4018.07,0,0.7683,2,0,0.10020624921003676,0,
CUST00018,2022-07-22,22,Female,Central,1,Secondary,Employed,No,1,1,1,11,13,17,10,10,4,41681.32,35389.81,0.0,0,6793.23,0,0.3839,2,0,0.06876932554080414,0,
CUST00019,2023-11-07,56,Female,Western,0,None,Employed,Yes,0,0,0,0,4,6,0,2,5,54099.1,22122.79,0.0,2,7355.14,0,0.9065,5,0,0.3310848816784835,0,
CUST00020,2023-09-16,31,Female,Western,1,Primary,Informal,Yes,1,1,1,12,7,3,2,4,0,55032.95,56349.96,0.0,1,3964.03,1,0.9282,0,0,0.04478149928204466,0,
CUST00021,2023-08-20,45,Male,Rift Valley,1,Secondary,Informal,Yes,0,0,0,0,18,6,11,4,3,74036.83,74952.8,0.0,0,4050.72,3,0.8043,2,0,0.043942755493437215,0,
CUST00022,2022-05-17,37,Male,Northeastern,1,Secondary,Unemployed,Yes,1,0,0,7,11,2,0,4,1,48883.98,223049.23,0.0,1,1615.03,3,0.8941,5,1,0.003327372965194637,0,
CUST00023,2022-08-07,49,Female,Central,0,Tertiary,Self-employed,Yes,0,0,1,0,8,0,0,3,7,29096.73,26815.7,0.0,3,2990.64,2,0.8859,0,1,0.3243843210554199,0,
CUST00024,2022-11-27,44,Male,Central,1,Secondary,Informal,Yes,1,0,1,4,9,23,10,5,3,125302.28,27173.92,0.0,1,1373.4,1,0.5635,4,0,0.04831276991497975,0,
CUST00025,2023-09-09,41,Male,Nairobi,1,Secondary,Self-employed,Yes,1,0,1,3,8,14,0,4,0,62672.59,37739.32,1494.34,1,1519.48,1,0.9129,2,2,0.117522519877821,0,
CUST00026,2024-09-05,41,Male,Coast,0,Secondary,Employed,Yes,1,0,1,1,2,4,1,0,4,24320.16,22898.13,1173.37,1,1537.03,0,0.9823,5,0,0.26519697127470776,0,
CUST00027,2024-10-26,24,Male,Nairobi,1,Primary,Informal,Yes,1,1,1,23,15,29,0,3,3,264892.88,54481.52,0.0,1,3697.0,0,0.6812,2,1,0.0064525311694566085,0,
CUST00028,2022-10-22,56,Male,Nairobi,1,Secondary,Employed,Yes,1,0,1,18,2,4,7,1,2,282752.64,97483.06,11194.61,0,955.56,0,0.8634,1,1,0.0027119337706132765,0,
CUST00029,2023-02-04,41,Male,Western,0,Secondary,Self-employed,Yes,0,0,1,0,2,5,4,1,2,26438.36,31072.39,0.0,1,1880.94,1,0.8543,2,0,0.26996739415754395,1,2024-03-28
CUST00030,2022-09-01,60,Female,Western,0,Secondary,Unemployed,Yes,1,0,1,10,12,0,6,7,2,85119.84,24852.11,0.0,2,1523.94,0,0.6136,3,0,0.14485124406476552,0,
CUST00031,2024-03-03,24,Female,Northeastern,0,None,Employed,Yes,0,0,1,0,0,4,3,5,2,48400.28,49284.08,2002.43,1,2776.44,5,0.8615,0,0,0.1527900641013847,0,
CUST00032,2022-08-11,25,Female,Rift Valley,0,Tertiary,Employed,Yes,0,0,1,0,5,9,4,3,8,13170.85,32496.02,0.0,2,1785.99,1,0.7452,7,1,0.46571424291268454,1,2022-12-04
CUST00033,2022-01-24,22,Female,Rift Valley,1,Secondary,Employed,Yes,1,1,1,5,37,3,14,1,9,61013.0,44566.73,0.0,2,5887.53,2,0.9648,2,0,0.03455513186761109,0,
CUST00034,2022-07-21,50,Female,Coast,0,None,Self-employed,Yes,0,0,0,0,4,1,2,4,1,18514.68,43672.38,5817.23,0,4519.8,0,0.8313,2,0,0.2070942855574509,1,2023-02-13
CUST00035,2024-05-14,60,Female,Nairobi,1,Tertiary,Self-employed,Yes,1,0,1,3,35,10,2,7,4,54053.73,17851.04,0.0,2,2852.22,1,0.8715,0,0,0.08783611078894378,0,
CUST00036,2023-04-16,47,Male,Nairobi,1,Tertiary,Self-employed,Yes,1,1,1,3,7,5,5,4,11,49222.14,22571.66,0.0,2,3565.58,0,0.8522,1,0,0.07626236809067086,0,
CUST00037,2024-02-12,46,Female,Coast,0,Secondary,Employed,Yes,1,0,1,6,3,5,6,3,3,48869.11,13173.23,1907.38,3,1270.98,2,0.6546,0,0,0.24485762799461386,0,
CUST00038,2023-06-22,28,Male,Rift Valley,0,Secondary,Employed,Yes,0,0,1,0,1,2,5,0,0,61698.1,55342.97,0.0,1,5953.12,2,0.6557,0,0,0.1337012301328709,0,
CUST00039,2022-04-02,45,Female,Western,0,Secondary,Informal,Yes,1,1,1,2,9,5,3,8,9,19652.1,25338.65,9860.85,3,2968.3,2,0.6144,2,0,0.19437353145241285,1,2022-11-12
CUST00040,2024-09-09,34,Male,Rift Valley,1,Tertiary,Unemployed,Yes,1,0,1,1,20,20,1,2,3,53239.27,54786.76,10669.16,3,795.7,1,0.5238,1,1,0.05437728814252554,0,
CUST00041,2024-11-02,43,Male,Central,1,Primary,Employed,Yes,1,0,0,5,6,5,2,7,3,49877.45,71805.2,3959.74,1,673.8,0,0.7514,2,0,0.07238704912958849,0,
CUST00042,2024-07-11,30,Female,Western,0,Primary,Self-employed,Yes,0,0,0,0,4,0,0,3,5,45985.83,18819.7,0.0,2,3850.38,0,0.9618,3,0,0.22399592491552314,1,2024-11-08
CUST00043,2024-12-17,27,Male,Rift Valley,0,Secondary,Informal,Yes,1,0,1,3,18,4,8,4,2,19622.62,54874.57,0.0,1,2697.84,1,0.3859,2,0,0.13004439751200284,0,
CUST00044,2023-09-12,33,Male,Central,1,Primary,Self-employed,Yes,0,1,1,0,36,6,2,2,3,50514.24,56195.06,10497.2,0,4407.69,1,0.8495,0,0,0.037860531149695696,0,
CUST00045,2024-01-12,39,Male,Central,1,Tertiary,Informal,Yes,1,1,1,0,19,4,3,3,3,29194.98,46791.82,3954.59,2,616.94,0,0.5737,0,0,0.071477957375909,0,
CUST00046,2024-03-13,62,Male,Rift Valley,0,Primary,Informal,Yes,0,0,1,0,4,2,1,1,2,11242.41,44298.07,2906.62,2,3218.64,1,0.9035,2,0,0.24631729985777243,1,2024-08-15
CUST00047,2024-02-11,20,Female,Rift Valley,1,Tertiary,Employed,Yes,1,1,1,13,33,2,11,2,4,88898.82,28885.57,0.0,1,5291.72,3,0.8557,1,1,0.04800014331827772,0,
CUST00048,2024-05-11,33,Female,Western,0,Primary,Self-employed,Yes,1,0,1,2,17,5,5,1,4,29872.4,36327.57,0.0,1,3250.93,0,0.703,4,0,0.15567313695114873,0,
CUST00049,2023-07-01,55,Female,Nairobi,1,Secondary,Self-employed,Yes,0,0,1,0,2,2,9,10,9,90463.32,26339.9,0.0,0,668.29,2,0.6876,2,0,0.09861856619874737,1,2024-07-09
CUST00050,2023-01-02,29,Male,Nairobi,1,Primary,Employed,Yes,1,0,0,0,10,6,6,3,7,63507.54,34568.93,8371.86,0,5045.42,1,0.7863,0,1,0.14742312270003508,0,
CUST00051,2022-01-10,52,Male,Nairobi,1,Primary,Employed,Yes,1,1,1,9,1,0,17,4,0,52482.22,48268.17,1936.45,3,3512.89,0,0.8025,0,0,0.06029372234361049,0,
CUST00052,2024-11-12,57,Female,Central,0,None,Informal,Yes,0,1,0,0,6,5,3,3,3,31906.42,61070.53,994.13,1,4576.14,1,0.6259,0,0,0.1797261383431927,0,
CUST00053,2023-08-03,34,Male,Western,0,Secondary,Informal,Yes,1,0,1,1,9,3,3,6,4,65312.35,23349.1,2234.06,3,9016.84,1,0.5993,2,0,0.1488781560537881,0,
CUST00054,2022-06-18,55,Male,Western,0,Primary,Employed,Yes,0,0,1,0,6,15,1,6,4,36844.47,116659.15,0.0,1,4116.8,0,0.8105,1,0,0.038761405538474736,0,
CUST00055,2024-09-08,39,Male,Central,1,Secondary,Informal,Yes,1,0,1,4,30,12,37,2,5,58484.36,99620.35,0.0,4,2885.04,1,0.7786,0,1,0.016976332434711083,0,
CUST00056,2024-08-22,39,Male,Rift Valley,1,Tertiary,Informal,Yes,1,0,1,4,11,7,10,7,4,122809.8,66695.54,5743.82,4,757.54,0,0.7498,1,1,0.03204108547853801,0,
CUST00057,2023-11-14,36,Female,Coast,1,Secondary,Employed,No,0,1,1,0,14,27,1,1,4,56017.44,44855.02,5025.29,1,520.12,1,0.8506,3,1,0.07545395910529455,0,
CUST00058,2023-07-27,50,Female,Nairobi,1,Primary,Informal,Yes,1,1,1,15,16,17,1,4,13,65713.55,31731.65,1353.86,2,5959.41,3,0.7149,2,0,0.06593711174639377,0,
CUST00059,2024-11-22,48,Male,Nairobi,1,Secondary,Informal,Yes,1,0,1,13,2,5,6,2,5,80667.78,139112.57,0.0,1,2655.22,1,0.9279,1,0,0.007656268090196908,0,
CUST00060,2022-07-02,49,Male,Western,0,Primary,Informal,Yes,1,0,1,1,10,3,4,3,4,42690.0,17443.82,2878.73,3,4940.13,0,0.4861,3,0,0.18391869022748875,1,2024-09-26
CUST00061,2024-10-26,49,Female,Coast,1,Secondary,Employed,Yes,1,0,1,2,10,11,1,6,4,40540.2,20255.59,0.0,1,1071.67,1,0.8062,3,0,0.10839111450007889,0,
CUST00062,2024-07-27,47,Male,Coast,0,Secondary,Employed,Yes,0,0,1,0,19,15,4,0,2,26184.99,15388.38,0.0,3,3208.17,2,0.9364,3,0,0.33416114915545875,0,
CUST00063,2022-10-24,58,Female,Central,1,Tertiary,Employed,Yes,1,0,1,6,36,3,9,8,2,103280.45,17181.21,1294.69,0,5479.6,0,0.7779,1,0,0.061378398798081636,0,
CUST00064,2022-08-29,32,Female,Western,0,Primary,Informal,Yes,1,0,1,1,4,10,23,0,3,81405.63,11684.02,0.0,2,274.01,2,0.7245,2,0,0.15108497861858405,0,
CUST00065,2024-03-03,29,Male,Coast,0,Secondary,Employed,Yes,1,1,0,7,20,3,0,0,0,19284.31,11494.45,0.0,2,2935.77,2,0.9504,2,1,0.26367199288597043,0,
CUST00066,2024-01-21,32,Female,Coast,1,Tertiary,Informal,Yes,1,0,1,4,20,7,3,1,8,52477.45,98004.42,24965.95,0,1981.55,1,0.5453,0,0,0.01673171860798173,0,
CUST00067,2024-02-04,45,Female,Rift Valley,0,Secondary,Informal,Yes,1,0,1,0,5,15,8,0,4,22786.79,18970.09,9730.76,1,6211.87,0,0.2215,4,1,0.30346533467729253,1,2024-04-17
CUST00068,2022-05-10,37,Male,Nairobi,1,Primary,Employed,Yes,1,1,1,7,7,23,13,4,1,141665.96,62800.35,0.0,2,4752.25,1,0.9789,1,0,0.016156686211045476,0,
CUST00069,2024-12-31,36,Female,Rift Valley,1,Primary,Unemployed,Yes,0,1,1,0,5,14,1,3,5,113966.13,42445.7,3797.77,5,5845.91,0,0.6181,0,0,0.07011639871785913,0,
CUST00070,2024-09-19,40,Male,Nairobi,1,Secondary,Self-employed,No,1,0,1,21,26,14,5,11,3,114846.77,37270.8,2552.01,3,1319.5,2,0.7344,1,1,0.05760862411549335,0,
CUST00071,2023-01-11,51,Male,Rift Valley,0,Secondary,Unemployed,Yes,1,0,1,2,12,8,1,3,4,34365.3,63044.03,0.0,1,8590.66,2,0.6677,3,0,0.07047635802213267,0,
CUST00072,2022-05-29,38,Female,Central,1,Primary,Employed,Yes,1,0,1,10,19,12,4,5,7,30895.18,67156.07,5991.03,3,1337.03,2,0.8469,0,0,0.0488114632958766,0,
CUST00073,2022-04-13,37,Male,Rift Valley,0,Tertiary,Employed,Yes,1,0,1,0,13,10,6,6,4,71427.09,64082.54,12976.21,1,1721.59,0,0.7609,3,0,0.061113157287102086,0,
CUST00074,2022-04-27,36,Male,Nairobi,1,Primary,Self-employed,Yes,1,0,1,8,15,5,18,0,3,54583.32,97648.82,10662.43,2,1387.93,3,0.4738,3,0,0.019913011606772515,0,
CUST00075,2022-04-03,21,Male,Rift Valley,0,Tertiary,Unemployed,Yes,0,0,0,0,11,1,0,1,3,101277.76,45116.29,2646.14,1,7714.95,0,0.6173,1,0,0.13906426048987755,1,2022-10-21
CUST00076,2022-05-28,35,Female,Rift Valley,0,Secondary,Employed,Yes,1,0,1,2,18,3,3,0,2,27679.63,27517.57,2867.51,1,3526.77,2,0.9048,1,0,0.17008259625557867,1,2023-04-21
CUST00077,2023-07-12,52,Male,Western,1,Secondary,Self-employed,Yes,1,0,1,4,18,41,10,6,0,194527.56,40641.92,0.0,1,1715.65,1,0.656,1,1,0.024004805414864962,0,
CUST00078,2023-06-23,22,Female,Coast,0,Secondary,Employed,No,0,0,1,0,6,4,5,2,5,31272.49,48911.85,3276.14,3,2272.42,2,0.6948,3,0,0.2112427449316275,1,2024-10-17
CUST00079,2024-05-29,32,Female,Central,0,None,Employed,Yes,0,1,1,0,16,1,9,1,1,33580.52,48465.86,0.0,1,2702.1,0,0.7947,4,0,0.12723736448325154,1,2024-10-27
CUST00080,2024-04-18,62,Female,Western,0,Secondary,Self-employed,Yes,0,0,1,0,12,2,3,6,4,18310.79,49564.25,0.0,3,8562.47,1,0.8771,3,0,0.1515518573814776,0,
CUST00081,2023-08-25,40,Female,Rift Valley,1,Tertiary,Employed,Yes,1,0,1,8,9,1,4,0,7,64872.64,28989.36,9977.44,1,2532.45,0,0.6378,0,0,0.08594313557476639,1,2024-10-10
CUST00082,2023-12-28,50,Female,Central,1,Tertiary,Employed,Yes,1,0,1,5,8,18,6,1,3,32583.73,91504.64,0.0,1,4525.51,1,0.9123,0,0,0.034744364478280075,0,
CUST00083,2024-12-21,23,Male,Nairobi,1,Primary,Informal,Yes,1,1,0,30,16,4,4,1,1,70450.78,120820.1,1712.09,1,111.11,1,0.6295,3,0,0.011731398707778005,0,
CUST00084,2023-02-24,51,Female,Nairobi,1,Tertiary,Informal,Yes,1,1,1,11,19,9,2,1,4,113130.4,25608.69,5026.47,3,2090.92,1,0.8295,0,0,0.04869943805053106,0,
CUST00085,2024-06-29,25,Male,Nairobi,1,Secondary,Employed,Yes,1,0,1,1,11,18,2,6,8,196499.24,49391.38,8991.56,1,4311.33,1,0.7484,2,0,0.016793264131130095,0,
CUST00086,2022-03-30,57,Female,Western,0,Secondary,Employed,Yes,0,0,0,0,7,0,0,3,3,61195.94,23120.98,0.0,0,6379.52,0,0.9882,1,0,0.29788653379151775,1,2022-08-12
CUST00087,2024-11-27,38,Female,Coast,0,Tertiary,Self-employed,Yes,0,0,1,0,5,4,6,9,6,41657.92,22369.57,9218.36,1,9169.85,2,0.6915,3,0,0.26177984254726266,0,
CUST00088,2023-05-09,54,Male,Nairobi,1,Primary,Unemployed,Yes,0,1,1,0,39,8,3,2,3,36762.67,101818.63,3055.86,2,4660.36,0,0.4211,0,0,0.018214624852421278,0,
CUST00089,2022-04-18,29,Female,Coast,1,Primary,Employed,Yes,1,0,1,21,16,14,9,6,3,180677.36,93619.63,0.0,3,1083.54,0,0.8135,3,0,0.0057492729256865,0,
CUST00090,2022-02-06,44,Female,Nairobi,1,Secondary,Employed,Yes,1,0,1,6,21,6,5,6,1,8917.7,30760.27,6453.07,2,3776.33,4,0.7742,1,0,0.15796088669317973,1,2022-08-02
CUST00091,2022-04-16,49,Female,Western,1,Secondary,Employed,Yes,1,0,1,24,9,2,1,4,3,81585.51,68627.81,0.0,4,3282.59,1,0.7477,0,0,0.03052219889075317,0,
CUST00092,2022-01-22,37,Male,Rift Valley,1,Secondary,Employed,Yes,0,0,1,0,1,5,1,10,4,23019.63,75458.51,10211.34,4,1309.86,0,0.9308,0,0,0.10758067002287075,1,2023-11-25
CUST00093,2024-10-20,53,Female,Rift Valley,0,Secondary,Self-employed,Yes,1,1,1,3,9,5,4,11,1,13354.63,17369.99,0.0,2,2716.35,1,0.7135,3,0,0.2609708214254668,0,
CUST00094,2022-10-05,28,Female,Rift Valley,0,Tertiary,Employed,Yes,1,1,1,1,10,4,3,1,5,78538.0,82496.29,0.0,1,3997.11,1,0.8617,4,0,0.023130839837556337,0,
CUST00095,2023-01-19,38,Female,Western,0,Primary,Self-employed,Yes,1,0,1,10,4,8,12,4,4,64266.6,85542.22,6849.53,3,6308.01,1,0.9227,4,0,0.03718506245224527,0,
CUST00096,2023-01-27,32,Male,Rift Valley,1,Tertiary,Employed,Yes,1,0,1,14,2,1,4,3,3,97425.88,11224.22,0.0,3,2894.33,2,0.6623,2,0,0.068236439697054,0,
CUST00097,2022-03-11,34,Male,Nairobi,1,Primary,Employed,Yes,1,0,1,2,14,7,15,1,1,58978.83,51136.31,6838.69,2,616.17,2,0.9267,1,1,0.10600090365976118,1,2022-05-18
CUST00098,2022-01-29,36,Female,Nairobi,1,Tertiary,Self-employed,Yes,1,0,1,8,22,12,3,2,2,32582.22,27107.82,6598.97,4,5832.39,1,0.5358,1,1,0.12734171173275502,1,2023-06-03
CUST00099,2022-11-07,50,Female,Northeastern,1,Tertiary,Informal,Yes,1,0,1,8,16,21,2,2,3,27264.45,12740.24,6706.74,0,1137.75,1,0.6591,1,0,0.1517339614959429,1,2023-10-22
CUST00100,2024-12-02,42,Female,Central,0,Tertiary,Unemployed,Yes,0,0,1,0,0,1,9,0,4,52468.1,32660.32,0.0,5,12262.37,2,0.8509,5,0,0.24304622370102266,0,
CUST00101,2022-05-26,35,Female,Western,0,Tertiary,Self-employed,Yes,0,0,1,0,7,10,0,8,0,22846.37,17956.55,0.0,2,3959.92,2,0.9141,1,0,0.35030824729845433,1,2022-08-12
CUST00102,2024-10-11,49,Female,Rift Valley,0,Primary,Unemployed,Yes,0,0,1,0,8,4,1,5,2,31652.96,6272.81,1271.37,2,1292.71,2,0.693,2,0,0.3941642755219834,0,
CUST00103,2024-06-02,59,Female,Northeastern,0,Secondary,Employed,Yes,1,1,0,1,6,0,0,3,0,67590.74,32759.2,0.0,1,3196.45,1,0.921,2,0,0.12504051662295707,0,
CUST00104,2022-04-13,39,Female,Central,0,Secondary,Self-employed,Yes,1,0,1,5,8,3,2,0,1,40831.03,76086.17,0.0,2,8298.63,4,0.5552,1,0,0.07795189112286989,0,
CUST00105,2024-10-31,25,Male,Western,1,Secondary,Self-employed,Yes,1,0,1,13,18,15,15,4,3,66004.57,45586.6,12803.58,3,455.41,1,0.8432,0,0,0.0536898157079588,0,
CUST00106,2023-10-04,33,Male,Rift Valley,1,Secondary,Informal,No,0,0,1,0,16,3,6,6,1,63195.57,43190.92,0.0,2,1946.39,1,0.4503,2,0,0.10430086171652588,1,2024-06-20
CUST00107,2024-05-22,53,Female,Rift Valley,0,Secondary,Employed,Yes,0,1,1,0,15,3,2,6,4,34573.51,110552.54,949.84,2,4311.01,4,0.8991,0,0,0.03674258395939087,0,
CUST00108,2023-06-09,21,Female,Nairobi,1,Secondary,Employed,Yes,1,1,1,13,19,14,8,1,3,63819.76,72288.01,5476.76,4,4205.01,0,0.502,2,2,0.042357258188176095,0,
CUST00109,2022-05-08,29,Male,Central,1,Secondary,Employed,No,1,1,1,11,15,17,16,4,1,58240.05,67682.66,5226.63,3,2811.98,2,0.9691,1,0,0.02852980180367701,0,
CUST00110,2023-11-25,49,Male,Rift Valley,1,Primary,Informal,Yes,1,0,0,19,12,2,2,14,10,26183.68,27859.82,10488.47,1,1695.54,2,0.6476,0,0,0.1345081119256482,0,
CUST00111,2024-03-11,56,Male,Nairobi,1,Secondary,Informal,Yes,1,1,1,15,17,7,6,1,2,50005.29,19804.13,0.0,3,450.5,2,0.6336,0,0,0.1267812052668175,0,
CUST00112,2023-06-15,37,Female,Rift Valley,1,Tertiary,Informal,No,0,0,1,0,27,9,3,7,1,29450.42,131521.76,2740.64,0,1406.58,1,0.869,1,1,0.019482460845161222,0,
CUST00113,2022-01-19,50,Female,Coast,0,Secondary,Self-employed,Yes,0,1,0,0,12,0,2,4,0,41656.23,29722.06,0.0,2,1578.64,0,0.8707,2,0,0.2367295594379314,1,2023-02-08
CUST00114,2022-09-01,42,Female,Nairobi,1,Secondary,Employed,Yes,1,0,1,6,20,0,4,1,8,82528.75,63639.63,5298.36,2,1351.26,1,0.9598,3,1,0.02743237781941092,0,
CUST00115,2022-11-17,36,Female,Central,1,Primary,Informal,Yes,1,1,1,2,10,10,12,1,1,96929.65,100258.08,8365.83,2,4372.83,0,0.576,2,0,0.016888636832236983,0,
CUST00116,2022-02-28,54,Female,Western,0,Tertiary,Self-employed,No,0,0,1,0,3,2,15,7,1,20434.32,13398.82,0.0,2,2654.3,0,0.9675,2,0,0.31715231078563894,1,2023-12-07
CUST00117,2022-04-29,29,Male,Western,0,Primary,Employed,No,1,0,1,3,7,1,2,0,3,79279.02,7224.69,12091.98,0,3904.53,2,0.9068,5,0,0.1757083278653139,1,2022-09-20
CUST00118,2022-10-08,42,Male,Rift Valley,0,Tertiary,Employed,Yes,1,0,1,0,8,15,9,0,3,75204.48,59113.78,0.0,1,2084.15,1,0.6085,3,2,0.08947969471440258,1,2023-07-25
CUST00119,2024-08-08,57,Female,Western,1,Secondary,Employed,Yes,1,1,1,9,25,1,7,5,1,42889.93,20903.55,7765.95,2,6191.91,1,0.8071,0,1,0.10203384700510028,0,
CUST00120,2023-02-23,48,Female,Coast,1,Secondary,Employed,Yes,0,1,1,0,27,1,21,2,8,114065.2,55226.27,7285.92,3,2210.06,2,0.8598,0,1,0.036305023281074204,0,
CUST00121,2022-11-24,54,Male,Western,1,Primary,Employed,No,1,0,1,2,18,1,5,3,3,200612.75,13034.48,4460.71,0,1145.02,1,0.5124,2,1,0.03802554130949608,0,
CUST00122,2024-03-16,38,Female,Nairobi,1,Primary,Informal,No,1,0,1,8,11,6,1,2,3,60521.42,17305.39,0.0,0,3889.44,2,0.7702,0,0,0.07983392322981886,0,
CUST00123,2024-09-27,60,Female,Rift Valley,1,Primary,Employed,Yes,1,0,1,9,2,9,9,5,1,190531.33,19176.59,16372.41,0,4538.22,1,0.9592,0,0,0.03473753556774057,0,
CUST00124,2022-07-16,57,Male,Nairobi,1,Secondary,Employed,Yes,1,0,1,5,11,2,8,4,2,31151.19,34366.66,0.0,3,6180.57,1,0.8541,3,0,0.08404234527229315,0,
CUST00125,2022-01-08,62,Male,Coast,1,Secondary,Informal,Yes,1,0,1,3,19,12,5,11,5,197023.3,74281.6,2729.29,4,1504.5,0,0.4993,0,0,0.006777786541477259,0,
CUST00126,2022-12-03,53,Male,Rift Valley,1,Secondary,Employed,Yes,1,0,1,2,6,1,16,3,5,95272.1,135382.09,1088.8,0,767.38,0,0.8592,0,0,0.006737420040302163,0,
CUST00127,2023-06-05,29,Male,Nairobi,1,Tertiary,Employed,Yes,1,1,1,5,9,4,5,7,2,173207.13,62828.97,0.0,3,4382.79,0,0.5006,3,0,0.009457950105509995,0,
CUST00128,2023-10-18,50,Male,Nairobi,1,Primary,Employed,Yes,1,0,1,4,11,8,3,9,1,36170.51,63650.85,7465.94,1,2311.33,0,0.8412,0,0,0.05465282173468033,0,
CUST00129,2024-10-17,32,Male,Coast,1,Tertiary,Employed,Yes,1,1,1,5,3,5,2,4,3,64581.09,32647.43,7037.5,1,584.93,2,0.6177,2,0,0.06208397847597638,0,
CUST00130,2024-03-13,31,Female,Nairobi,1,Secondary,Employed,Yes,1,0,1,18,26,2,27,3,3,106975.47,17929.08,3827.02,2,2787.96,0,0.9972,0,1,0.06632647801336188,0,
CUST00131,2022-10-13,52,Female,Northeastern,1,Secondary,Informal,Yes,1,0,1,6,28,11,2,4,1,44514.32,50943.36,0.0,1,915.45,2,0.6297,0,2,0.0630516305836666,0,
